No,제목,회사,지역,link
0,[GS네오텍] IT/플랜트 경력.신입사원 채용,GS네오텍㈜,서울 구로구,https://www.jobkorea.co.kr/Recruit/GI_Read/45249456?Oem_Code=C1&logpath=1&stext=파이썬&listno=1
1,[전액무료 IT취업] 파이썬/데이터분석/인공지능/풀스택(무료숙식제공),휴먼교육센터,서울 영등포구 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45384531?Oem_Code=C1&logpath=1&stext=파이썬&listno=2
2,"1.[여의도] 보험, 금융, 운영, 유지보수, sm,  Python, 파이썬, 중급",이컴라인,서울 영등포구,https://www.jobkorea.co.kr/Recruit/GI_Read/45289030?Oem_Code=C1&logpath=1&stext=파이썬&listno=3
3,파이썬/데이터분석 국비훈련 강사 모집,한국직업전문학교,서울 구로구,https://www.jobkorea.co.kr/Recruit/GI_Read/45401462?Oem_Code=C1&logpath=1&stext=파이썬&listno=4
4,로봇 ROS/파이썬 국비훈련 강사 모집,한국직업전문학교,서울 구로구,https://www.jobkorea.co.kr/Recruit/GI_Read/45103667?Oem_Code=C1&logpath=1&stext=파이썬&listno=5
5,구미시 Growing 이미지 Data 수집관리 ( 하둡 파이썬 spark 개발자 ) 10월투입,푸른IT,경북 구미시,https://www.jobkorea.co.kr/Recruit/GI_Read/45411670?Oem_Code=C1&logpath=1&stext=파이썬&listno=6
6,"파이썬(Python, AWS) 경력 개발자 채용",㈜한국미용데이터,서울 서초구,https://www.jobkorea.co.kr/Recruit/GI_Read/45381265?Oem_Code=C1&logpath=1&stext=파이썬&listno=7
7,[(주)아이젝스] Mac Agent 파이썬 개발자 채용 공고,㈜아이젝스,서울 금천구,https://www.jobkorea.co.kr/Recruit/GI_Read/45324607?Oem_Code=C1&logpath=1&stext=파이썬&listno=8
8,자바 / 파이썬 국기과정 훈련교사 모집,㈜우리인재개발원,경기 부천시,https://www.jobkorea.co.kr/Recruit/GI_Read/45414250?Oem_Code=C1&logpath=1&stext=파이썬&listno=9
9,프론트개발 / 파이썬 국기과정 훈련교사 모집,㈜우리인재개발원,경기 부천시,https://www.jobkorea.co.kr/Recruit/GI_Read/45414168?Oem_Code=C1&logpath=1&stext=파이썬&listno=10
10,파이썬 (Python) 개발 경력자 모집,㈜테드,서울 강서구,https://www.jobkorea.co.kr/Recruit/GI_Read/45411109?Oem_Code=C1&logpath=1&stext=파이썬&listno=11
11,"[이젠아카데미 인천]K-디지털,자바,파이썬,정보처리산업기사 강의 훈련교사 채용",이젠아카데미컴퓨터학원,인천 남동구,https://www.jobkorea.co.kr/Recruit/GI_Read/45405738?Oem_Code=C1&logpath=1&stext=파이썬&listno=12
12,"자바 풀스택, 파이썬/데이터분석 국비훈련 강사 모집",(주)제이엠피코리아,서울 구로구,https://www.jobkorea.co.kr/Recruit/GI_Read/45401459?Oem_Code=C1&logpath=1&stext=파이썬&listno=13
13,"직업훈련 [ITQ, 컴기초, 파이썬] 훈련교사 채용",동작여성인력개발센터,서울 동작구,https://www.jobkorea.co.kr/Recruit/GI_Read/45378817?Oem_Code=C1&logpath=1&stext=파이썬&listno=14
14,"(EZEN) 일산캠퍼스 -  풀스택 JAVA,파이썬. 강사님 모십니다",이젠컴퓨터학원,경기 고양시,https://www.jobkorea.co.kr/Recruit/GI_Read/45353178?Oem_Code=C1&logpath=1&stext=파이썬&listno=15
15,[(주)뷰브레인헬스케어] 파이썬 풀스택 개발자 채용,㈜뷰브레인헬스케어,서울 강남구,https://www.jobkorea.co.kr/Recruit/GI_Read/45349625?Oem_Code=C1&logpath=1&stext=파이썬&listno=16
16,파이썬 개발자 채용,㈜유클리드소프트,대전 서구,https://www.jobkorea.co.kr/Recruit/GI_Read/45332942?Oem_Code=C1&logpath=1&stext=파이썬&listno=17
17,"[더조은컴퓨터 구로] 자바, 파이썬, 플러터, SQLD자격증 강사 채용",더조은컴퓨터학원,서울 구로구,https://www.jobkorea.co.kr/Recruit/GI_Read/45324601?Oem_Code=C1&logpath=1&stext=파이썬&listno=18
18,"빅데이터, 머신러닝, 파이썬 개발자",㈜에이치앤엘시스템,서울 중구,https://www.jobkorea.co.kr/Recruit/GI_Read/45310080?Oem_Code=C1&logpath=1&stext=파이썬&listno=19
19,웹개발자 (Python/Django 백엔드)  글로벌 빅데이터 마케팅 플랫폼(경력),㈜에이든랩,서울 마포구,https://www.jobkorea.co.kr/Recruit/GI_Read/45265798?Oem_Code=C1&logpath=1&stext=파이썬&listno=20
20,2024년도 하반기 제1차 직원채용 공고(무기계약직 및 기간제 직원 공개채용),인천글로벌캠퍼스운영 재단법인,인천 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45296712?Oem_Code=C1&logpath=1
21,[해외근무] 엘지 에너지솔루션 미국 오하이오주 설비보조(cs) 업무 채용(신입가능),다원코리아,경기,https://www.jobkorea.co.kr/Recruit/GI_Read/45064729?Oem_Code=C1&logpath=1
22,사무직 신입 및 경력 채용,엘에스메탈㈜,경기 외,https://www.jobkorea.co.kr/Recruit/GI_Read/45355367?Oem_Code=C1&logpath=1
23,[삼성그룹 보안요원] 9월 첨단보안직 신입사원 채용,㈜휴먼티에스에스,경기,https://www.jobkorea.co.kr/Recruit/GI_Read/45192578?Oem_Code=C1&logpath=1
